protocol,length,flowSize,srcAddr1,srcAddr2,srcAddr3,srcAddr4,dstAddr1,dstAddr2,dstAddr3,dstAddr4,SP0,SP1,DP0,DP1
0,40,120,179,175,57,247,170,239,243,219,29,76,203,170
0,40,200,52,223,37,89,146,55,105,97,1,187,28,8
0,40,80,91,4,80,18,182,250,165,63,70,90,176,138
0,40,280,52,92,253,207,175,86,21,37,1,187,167,218
0,40,160,55,8,36,251,136,87,70,20,1,187,164,96
0,40,80,149,18,111,110,175,86,20,72,0,23,172,58
1,28,56,179,163,182,23,171,198,89,47,110,140,249,118
1,28,56,89,232,231,88,182,22,78,3,231,142,126,150
0,40,40,160,68,140,239,45,62,233,117,195,71,1,189
0,40,80,199,105,231,190,146,55,105,99,0,80,204,66
0,40,40,34,239,67,40,146,55,105,92,1,187,158,120
0,40,120,91,12,171,106,171,176,25,166,1,187,151,41
0,40,80,205,190,20,171,161,89,80,150,1,187,231,227
1,28,28,128,55,251,95,180,211,115,85,225,125,192,195
0,40,80,30,252,247,54,136,186,73,156,0,80,225,163
0,40,360,146,55,91,192,146,55,105,93,1,187,242,18
0,40,40,52,79,70,96,175,84,167,221,1,187,6,96
0,40,40,45,225,54,251,30,239,0,115,184,14,1,187
1,28,28,105,224,210,35,136,28,187,238,134,85,41,84
0,40,80,148,227,42,103,136,28,184,252,1,187,220,108
0,40,80,72,106,214,253,162,67,235,67,0,80,200,217
0,40,80,34,223,208,227,175,242,126,12,1,187,217,224
1,28,28,52,121,191,23,175,84,156,51,65,60,70,222
1,28,28,213,13,164,127,203,253,167,159,198,184,156,15
0,40,40,213,5,4,231,162,160,211,215,1,187,234,180
1,28,28,128,55,240,54,182,247,21,61,210,244,52,201
1,28,28,126,49,235,161,219,221,0,216,107,32,214,224
0,40,40,25,31,79,30,146,55,105,100,0,80,252,116
1,28,28,37,245,124,2,175,73,250,3,30,97,248,76
1,28,56,168,117,52,28,191,151,184,76,26,225,243,127
0,40,200,199,192,105,231,180,120,246,52,1,187,19,29
0,40,40,94,164,182,90,45,237,34,151,219,145,9,127
0,40,80,55,28,201,238,146,55,105,101,1,187,107,42
0,40,80,26,120,121,242,162,67,238,164,1,187,150,9
0,40,40,146,55,91,233,146,55,105,93,1,187,31,152
0,40,40,35,81,36,252,45,170,72,158,1,187,177,113
0,40,40,203,77,48,234,45,87,160,224,1,187,200,15
1,28,28,117,157,147,229,175,84,134,90,192,244,178,89
1,28,28,223,239,74,34,173,249,37,99,26,225,227,212
0,40,80,30,220,161,87,146,55,105,99,1,187,219,90
0,40,40,91,71,4,161,171,199,191,51,0,80,194,154
0,40,40,213,13,166,60,175,73,180,41,1,187,200,165
0,40,40,178,22,254,74,161,80,83,183,1,187,196,171
1,28,28,164,172,239,127,158,48,141,210,0,53,151,44
0,40,160,13,95,213,38,199,124,196,49,1,187,50,17
1,28,28,128,55,250,208,136,34,95,235,232,103,236,141
1,28,28,89,28,239,58,173,249,119,133,178,145,232,23
0,40,40,124,24,148,185,175,84,158,83,1,187,242,67
1,28,28,45,46,231,76,203,24,248,85,196,230,7,230
0,40,40,189,55,242,120,146,55,105,98,1,187,121,180
0,40,40,52,100,112,16,175,69,90,136,1,187,200,58
1,28,28,94,21,84,159,158,48,141,194,0,53,240,120
0,40,40,169,221,13,230,171,168,25,181,194,183,0,113
0,40,40,75,196,96,184,175,70,223,239,1,187,167,4
